query_id,doc_a,doc_b,winner,judge_model
q-000,105065,84075,105065,glm-5.2
q-000,96937,104806,104806,glm-5.2
q-000,104907,53213,104907,glm-5.2
q-000,1,2392,1,glm-5.2
q-000,49080,52795,52795,glm-5.2
q-000,97011,87314,97011,glm-5.2
q-000,23624,105065,23624,glm-5.2
q-000,104983,105065,105065,glm-5.2
q-000,22085,25725,22085,glm-5.2
q-000,83623,81689,81689,glm-5.2
q-000,2392,83623,83623,glm-5.2
q-000,53213,127849,127849,glm-5.2
q-000,81700,105107,81700,glm-5.2
q-000,49080,96937,49080,glm-5.2
q-000,96937,1,1,glm-5.2
q-000,83918,33901,83918,glm-5.2
q-000,96980,104907,96980,glm-5.2
q-000,84120,104907,104907,glm-5.2
q-000,116208,81689,116208,glm-5.2
q-000,105220,53213,105220,glm-5.2
q-000,96543,30143,30143,glm-5.2
q-000,83671,105065,105065,glm-5.2
q-000,83671,2392,83671,glm-5.2
q-000,108791,104806,104806,glm-5.2
q-000,33901,104983,104983,glm-5.2
q-000,81700,53213,81700,glm-5.2
q-000,28801,81898,28801,glm-5.2
q-000,81898,83918,83918,glm-5.2
q-000,127849,104806,127849,glm-5.2
q-000,96543,108791,108791,glm-5.2
q-000,28801,1,1,glm-5.2
q-000,116208,97011,97011,glm-5.2
q-000,116208,104983,116208,glm-5.2
q-000,25725,105107,105107,glm-5.2
q-000,81898,40122,40122,glm-5.2
q-000,22085,116208,22085,glm-5.2
q-000,97894,84120,97894,glm-5.2
q-000,2392,104983,104983,glm-5.2
q-000,97011,28801,97011,glm-5.2
q-000,127849,96543,127849,glm-5.2
q-000,97894,96980,96980,glm-5.2
q-000,105065,81689,81689,glm-5.2
q-000,22085,104907,22085,glm-5.2
q-000,84075,81898,81898,glm-5.2
q-000,22085,108791,22085,glm-5.2
q-000,40122,1,40122,glm-5.2
q-000,127849,49080,127849,glm-5.2
q-000,105113,127849,127849,glm-5.2
q-000,40122,97011,40122,glm-5.2
q-000,1,127849,127849,glm-5.2
q-000,96980,49080,96980,glm-5.2
q-000,83623,104983,83623,glm-5.2
q-000,105065,97011,97011,glm-5.2
q-000,37585,87314,37585,glm-5.2
q-000,105220,49080,105220,glm-5.2
q-000,2392,105113,2392,glm-5.2
q-000,83671,73887,73887,glm-5.2
q-000,84120,49080,49080,glm-5.2
q-000,97894,81689,81689,glm-5.2
q-000,105107,30143,30143,glm-5.2
q-000,83918,28801,28801,glm-5.2
q-000,105220,22085,22085,glm-5.2
q-000,105113,83918,83918,glm-5.2
q-000,97037,49080,97037,glm-5.2
q-000,97011,85821,97011,glm-5.2
q-000,105113,83623,83623,glm-5.2
q-000,37585,85821,37585,glm-5.2
