system,S1,S10,MRR,R100
qwen3-emb-8b,0.9213709677419355,0.9959677419354839,0.9573252688172044,1.0
embeddinggemma,0.9193548387096774,0.9979838709677419,0.9517857142857143,1.0
openai-3-large,0.9193548387096774,0.9939516129032258,0.9518313172043011,0.9979838709677419
qwen3-emb-4b,0.9112903225806451,0.9979838709677419,0.9495127688172044,1.0
bge-large-en,0.9092741935483871,0.9919354838709677,0.942357910906298,1.0
me5-large,0.8891129032258065,0.9959677419354839,0.9334005376344087,1.0
openai-3-small,0.8870967741935484,0.9858870967741935,0.9293426779313876,0.9979838709677419
qwen3-emb-0.6b,0.8850806451612904,0.9959677419354839,0.9311875960061444,0.9979838709677419
modernbert-embed,0.8709677419354839,0.9858870967741935,0.9192116295442908,1.0
bge-small-en,0.8669354838709677,0.9838709677419355,0.9159554211469534,0.9979838709677419
bge-m3,0.8629032258064516,0.9959677419354839,0.9162930427547363,1.0
nomic-v1.5,0.8548387096774194,0.9818548387096774,0.9073300691244239,0.9959677419354839
mpnet-base,0.8044354838709677,0.9657258064516129,0.863949692780338,0.9939516129032258
minilm-l6,0.7883064516129032,0.9596774193548387,0.8507304467485919,0.9919354838709677
